uniprotid,genename,uniprotname,proteinname,disorders,references
Q6ZMR5,TMPRSS11A,TM11A_HUMAN,Transmembrane protease serine 11A,['MTLE'],"['23483634', '28007376']"
O60235,TMPRSS11D,TM11D_HUMAN,Transmembrane protease serine 11D,['MTLE'],"['23483634', '28007376']"
P08865,RPSA,RSSA_HUMAN,40S ribosomal protein SA,['MTLE'],"['23483634', '28007376']"
O15342,ATP6V0E1,VA0E1_HUMAN,V-type proton ATPase subunit e 1,['MTLE'],"['17515952', '28007376']"
P17540,CKMT2,KCRS_HUMAN,"Creatine kinase S-type, mitochondrial",['MTLE'],"['23483634', '28007376']"
Q33E94,RFX4,RFX4_HUMAN,Transcription factor RFX4,['MTLE'],"['23483634', '28007376']"
Q9BXU1,STK31,STK31_HUMAN,Serine/threonine-protein kinase 31,['MTLE'],"['23483634', '28007376']"
Q8WWM1,XAGE5,XAGE5_HUMAN,X antigen family member 5,['MTLE'],"['23483634', '28007376']"
Q5SVZ6,ZMYM1,ZMYM1_HUMAN,Zinc finger MYM-type protein 1,['MTLE'],"['23483634', '28007376']"
Q96J92,WNK4,WNK4_HUMAN,Serine/threonine-protein kinase WNK4,['MTLE'],"['23483634', '28007376']"
O15120,AGPAT2,PLCB_HUMAN,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,['MTLE'],"['23483634', '28007376']"
Q8IZS5,OFCC1,OFCC1_HUMAN,Orofacial cleft 1 candidate gene 1 protein,['MTLE'],"['23483634', '28007376']"
Q6UWX4,HHIPL2,HIPL2_HUMAN,HHIP-like protein 2,['MTLE'],"['23483634', '28007376']"
Q14289,PTK2B,FAK2_HUMAN,Protein-tyrosine kinase 2-beta,['MTLE'],"['17515952', '28007376']"
P47869,GABRA2,GBRA2_HUMAN,Gamma-aminobutyric acid receptor subunit alpha-2,['MTLE'],"['17515952', '28007376']"
Q15699,ALX1,ALX1_HUMAN,ALX homeobox protein 1,['MTLE'],"['23483634', '28007376']"
A5D8T8,CLEC18A,CL18A_HUMAN,C-type lectin domain family 18 member A,['MTLE'],"['23483634', '28007376']"
Q8IVH2,FOXP4,FOXP4_HUMAN,Forkhead box protein P4,['MTLE'],"['23483634', '28007376']"
Q96M86,DNHD1,DNHD1_HUMAN,Dynein heavy chain domain-containing protein 1,['MTLE'],"['23483634', '28007376']"
Q6P9F0,CCDC62,CCD62_HUMAN,Coiled-coil domain-containing protein 62,['MTLE'],"['23483634', '28007376']"
Q99999,GAL3ST1,G3ST1_HUMAN,Galactosylceramide sulfotransferase,['MTLE'],"['17515952', '28007376']"
P51797,CLCN6,CLCN6_HUMAN,Chloride transport protein 6,['MTLE'],"['28276448', '28007376']"
Q13115,DUSP4,DUS4_HUMAN,Dual specificity protein phosphatase 4,['MTLE'],"['17515952', '28007376']"
Q9GZS0,DNAI2,DNAI2_HUMAN,"Dynein intermediate chain 2, axonemal",['MTLE'],"['23483634', '28007376']"
Q99929,ASCL2,ASCL2_HUMAN,Achaete-scute homolog 2,['MTLE'],"['23483634', '28007376']"
Q93088,BHMT,BHMT1_HUMAN,Betaine--homocysteine S-methyltransferase 1,['MTLE'],"['23483634', '28007376']"
P42262,GRIA2,GRIA2_HUMAN,Glutamate receptor 2,['MTLE'],"['17515952', '28007376']"
Q9BY21,GPR87,GPR87_HUMAN,G-protein coupled receptor 87,['MTLE'],"['23483634', '28007376']"
Q96LP2,FAM81B,FA81B_HUMAN,Protein FAM81B,['MTLE'],"['23483634', '28007376']"
Q16828,DUSP6,DUS6_HUMAN,Dual specificity protein phosphatase 6,['MTLE'],"['17515952', '28007376']"
P07498,CSN3,CASK_HUMAN,Kappa-casein,['MTLE'],"['23483634', '28007376']"
Q96LP6,C12orf42,CL042_HUMAN,Uncharacterized protein C12orf42,['MTLE'],"['23483634', '28007376']"
P36222,CHI3L1,CH3L1_HUMAN,Chitinase-3-like protein 1,['MTLE'],"['23483634', '28007376']"
P16401,HIST1H1B,H15_HUMAN,Histone H1.5,['MTLE'],"['23483634', '28007376']"
P51116,FXR2,FXR2_HUMAN,Fragile X mental retardation syndrome-related protein 2,['MTLE'],"['23483634', '28007376']"
Q86YM7,HOMER1,HOME1_HUMAN,Homer protein homolog 1,['MTLE'],"['17515952', '28007376']"
P54315,PNLIPRP1,LIPR1_HUMAN,Inactive pancreatic lipase-related protein 1,['MTLE'],"['23483634', '28007376']"
Q03112,MECOM,MECOM_HUMAN,Histone-lysine N-methyltransferase MECOM,['MTLE'],"['23483634', '28007376']"
O43927,CXCL13,CXL13_HUMAN,C-X-C motif chemokine 13,['MTLE'],"['23483634', '28007376']"
Q92796,DLG3,DLG3_HUMAN,Disks large homolog 3,['MTLE'],"['17515952', '28007376']"
P42263,GRIA3,GRIA3_HUMAN,Glutamate receptor 3,['MTLE'],"['17515952', '28007376']"
P53041,PPP5C,PPP5_HUMAN,Serine/threonine-protein phosphatase 5,['MTLE'],"['23483634', '28007376']"
Q8IVL1,NAV2,NAV2_HUMAN,Neuron navigator 2,['MTLE'],"['23483634', '28007376']"
Q9H2U2,PPA2,IPYR2_HUMAN,"Inorganic pyrophosphatase 2, mitochondrial",['MTLE'],"['23483634', '28007376']"
O60462,NRP2,NRP2_HUMAN,Neuropilin-2,['MTLE'],"['23483634', '28007376']"
B2RN74,OR11H12,O11HC_HUMAN,Olfactory receptor 11H12,['MTLE'],"['23483634', '28007376']"
Q86YR6,POTED,POTED_HUMAN,POTE ankyrin domain family member D,['MTLE'],"['23483634', '28007376']"
P16144,ITGB4,ITB4_HUMAN,Integrin beta-4,['MTLE'],"['17515952', '28007376']"
Q9UGP4,LIMD1,LIMD1_HUMAN,LIM domain-containing protein 1,['MTLE'],"['23483634', '28007376']"
P31323,PRKAR2B,KAP3_HUMAN,cAMP-dependent protein kinase type II-beta regulatory subunit,['MTLE'],"['17515952', '28007376']"
Q9Y574,ASB4,ASB4_HUMAN,Ankyrin repeat and SOCS box protein 4,['MTLE'],"['23483634', '28007376']"
P51828,ADCY7,ADCY7_HUMAN,Adenylate cyclase type 7,['MTLE'],"['17515952', '28007376']"
P02452,COL1A1,CO1A1_HUMAN,Collagen alpha-1(I) chain,['MTLE'],"['17515952', '28007376']"
Q9HB55,CYP3A43,CP343_HUMAN,Cytochrome P450 3A43,['MTLE'],"['28276448', '28007376']"
A6NI86,GOLGA6L10,GG6LA_HUMAN,Golgin subfamily A member 6-like protein 10,['MTLE'],"['23483634', '28007376']"
P02775,PPBP,CXCL7_HUMAN,Platelet basic protein,['MTLE'],"['23483634', '28007376']"
Q9H329,EPB41L4B,E41LB_HUMAN,Band 4.1-like protein 4B,['MTLE'],"['23483634', '28007376']"
Q13822,ENPP2,ENPP2_HUMAN,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,['MTLE'],"['17515952', '28007376']"
P78545,ELF3,ELF3_HUMAN,ETS-related transcription factor Elf-3,['MTLE'],"['23483634', '28007376']"
P40199,CEACAM6,CEAM6_HUMAN,Carcinoembryonic antigen-related cell adhesion molecule 6,['MTLE'],"['23483634', '28007376']"
P79483,HLA-DRB3,DRB3_HUMAN,"HLA class II histocompatibility antigen, DR beta 3 chain",['MTLE'],"['17515952', '28007376']"
P36959,GMPR,GMPR1_HUMAN,GMP reductase 1,['MTLE'],"['17515952', '28007376']"
Q15398,DLGAP5,DLGP5_HUMAN,Disks large-associated protein 5,['MTLE'],"['23483634', '28007376']"
Q6ZTR7,FAM92B,FA92B_HUMAN,Protein FAM92B,['MTLE'],"['23483634', '28007376']"
Q6UXV0,GFRAL,GFRAL_HUMAN,GDNF family receptor alpha-like,['MTLE'],"['23483634', '28007376']"
P31644,GABRA5,GBRA5_HUMAN,Gamma-aminobutyric acid receptor subunit alpha-5,['MTLE'],"['17515952', '28007376']"
B1AJZ9,FHAD1,FHAD1_HUMAN,Forkhead-associated domain-containing protein 1,['MTLE'],"['23483634', '28007376']"
Q5W041,ARMC3,ARMC3_HUMAN,Armadillo repeat-containing protein 3,['MTLE'],"['23483634', '28007376']"
P12814,ACTN1,ACTN1_HUMAN,Alpha-actinin-1,['MTLE'],"['17515952', '28007376']"
P41594,GRM5,GRM5_HUMAN,Metabotropic glutamate receptor 5,['MTLE'],"['17515952', '28007376']"
Q6DN12,MCTP2,MCTP2_HUMAN,Multiple C2 and transmembrane domain-containing protein 2,['MTLE'],"['23483634', '28007376']"
P46459,NSF,NSF_HUMAN,Vesicle-fusing ATPase,['MTLE'],"['17515952', '28007376']"
Q6S8J3,POTEE,POTEE_HUMAN,POTE ankyrin domain family member E,['MTLE'],"['23483634', '28007376']"
O15547,P2RX6,P2RX6_HUMAN,P2X purinoceptor 6,['MTLE'],"['23483634', '28007376']"
O00408,PDE2A,PDE2A_HUMAN,"cGMP-dependent 3',5'-cyclic phosphodiesterase",['MTLE'],"['17515952', '28007376']"
Q01804,OTUD4,OTUD4_HUMAN,OTU domain-containing protein 4,['MTLE'],"['23483634', '28007376']"
P42330,AKR1C3,AK1C3_HUMAN,Aldo-keto reductase family 1 member C3,['MTLE'],"['17515952', '28007376']"
O00339,MATN2,MATN2_HUMAN,Matrilin-2,['MTLE'],"['23483634', '28007376']"
Q6P1N0,CC2D1A,C2D1A_HUMAN,Coiled-coil and C2 domain-containing protein 1A,['MTLE'],"['23483634', '28007376']"
Q76KP1,B4GALNT4,B4GN4_HUMAN,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1,['MTLE'],"['23483634', '28007376']"
P17538,CTRB1,CTRB1_HUMAN,Chymotrypsinogen B,['MTLE'],"['23483634', '28007376']"
Q9Y6K8,AK5,KAD5_HUMAN,Adenylate kinase isoenzyme 5,['MTLE'],"['17515952', '28007376']"
P31271,HOXA13,HXA13_HUMAN,Homeobox protein Hox-A13,['MTLE'],"['23483634', '28007376']"
Q969Q4,ARL11,ARL11_HUMAN,ADP-ribosylation factor-like protein 11,['MTLE'],"['23483634', '28007376']"
Q66K79,CPZ,CBPZ_HUMAN,Carboxypeptidase Z,['MTLE'],"['23483634', '28007376']"
P0DMV8,HSPA1A,HS71A_HUMAN,Heat shock 70 kDa protein 1A,['MTLE'],"['23483634', '28007376']"
P02679,FGG,FIBG_HUMAN,Fibrinogen gamma chain,['MTLE'],"['23483634', '28007376']"
P11488,GNAT1,GNAT1_HUMAN,Guanine nucleotide-binding protein G(t) subunit alpha-1,['MTLE'],"['23483634', '28007376']"
P06340,HLA-DOA,DOA_HUMAN,"HLA class II histocompatibility antigen, DO alpha chain",['MTLE'],"['23483634', '28007376']"
Q15063,POSTN,POSTN_HUMAN,Periostin,['MTLE'],"['23483634', '28007376']"
Q8TAU0,NKX2-3,NKX23_HUMAN,Homeobox protein Nkx-2.3,['MTLE'],"['23483634', '28007376']"
P04233,CD74,HG2A_HUMAN,HLA class II histocompatibility antigen gamma chain,['MTLE'],"['17515952', '28007376']"
Q14526,HIC1,HIC1_HUMAN,Hypermethylated in cancer 1 protein,['MTLE'],"['23483634', '28007376']"
Q96A47,ISL2,ISL2_HUMAN,Insulin gene enhancer protein ISL-2,['MTLE'],"['23483634', '28007376']"
Q9HCT0,FGF22,FGF22_HUMAN,Fibroblast growth factor 22,['MTLE'],"['23483634', '28007376']"
Q8N690,DEFB119,DB119_HUMAN,Beta-defensin 119,['MTLE'],"['23483634', '28007376']"
O60575,SPINK4,ISK4_HUMAN,Serine protease inhibitor Kazal-type 4,['MTLE'],"['23483634', '28007376']"
Q17RY6,LY6K,LY6K_HUMAN,Lymphocyte antigen 6K,['MTLE'],"['23483634', '28007376']"
P07476,IVL,INVO_HUMAN,Involucrin,['MTLE'],"['23483634', '28007376']"
Q8N5S9,CAMKK1,KKCC1_HUMAN,Calcium/calmodulin-dependent protein kinase kinase 1,['MTLE'],"['23483634', '28007376']"
Q9GZY6,LAT2,NTAL_HUMAN,Linker for activation of T-cells family member 2,['MTLE'],"['23483634', '28007376']"
A6NGY3,C5orf52,CE052_HUMAN,Uncharacterized protein C5orf52,['MTLE'],"['23483634', '28007376']"
Q6UXL0,IL20RB,I20RB_HUMAN,Interleukin-20 receptor subunit beta,['MTLE'],"['23483634', '28007376']"
Q86WS4,C12orf40,CL040_HUMAN,Uncharacterized protein C12orf40,['MTLE'],"['23483634', '28007376']"
Q3MIR4,TMEM30B,CC50B_HUMAN,Cell cycle control protein 50B,['MTLE'],"['23483634', '28007376']"
Q8N0U7,C1orf87,CA087_HUMAN,Uncharacterized protein C1orf87,['MTLE'],"['23483634', '28007376']"
Q7Z7M9,GALNT5,GALT5_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 5,['MTLE'],"['23483634', '28007376']"
Q96GL9,FAM163A,F163A_HUMAN,Protein FAM163A,['MTLE'],"['23483634', '28007376']"
Q2TAC2,CCDC57,CCD57_HUMAN,Coiled-coil domain-containing protein 57,['MTLE'],"['23483634', '28007376']"
Q08477,CYP4F3,CP4F3_HUMAN,Cytochrome P450 4F3,['MTLE'],"['17515952', '28007376']"
P08684,CYP3A4,CP3A4_HUMAN,Cytochrome P450 3A4,['MTLE'],"['28276448', '28007376']"
P42261,GRIA1,GRIA1_HUMAN,Glutamate receptor 1,['MTLE'],"['17515952', '28007376']"
Q8N9W8,FAM71D,FA71D_HUMAN,Protein FAM71D,['MTLE'],"['23483634', '28007376']"
P01911,HLA-DRB1,2B1F_HUMAN,"HLA class II histocompatibility antigen, DRB1-15 beta chain",['MTLE'],"['17515952', '28007376']"
P57730,CARD18,CAR18_HUMAN,Caspase recruitment domain-containing protein 18,['MTLE'],"['23483634', '28007376']"
P78352,DLG4,DLG4_HUMAN,Disks large homolog 4,['MTLE'],"['17515952', '28007376']"
P28482,MAPK1,MK01_HUMAN,Mitogen-activated protein kinase 1,['MTLE'],"['17515952', '28007376']"
Q13938,CAPS,CAYP1_HUMAN,Calcyphosin,['MTLE'],"['23483634', '28007376']"
A6NCJ1,C19orf71,CS071_HUMAN,Uncharacterized protein C19orf71,['MTLE'],"['23483634', '28007376']"
Q4VXF1,FAM74A3,F74A3_HUMAN,Putative protein FAM74A3,['MTLE'],"['23483634', '28007376']"
Q8TC56,FAM71B,FA71B_HUMAN,Protein FAM71B,['MTLE'],"['23483634', '28007376']"
O95678,KRT75,K2C75_HUMAN,"Keratin, type II cytoskeletal 75",['MTLE'],"['23483634', '28007376']"
P56202,CTSW,CATW_HUMAN,Cathepsin W,['MTLE'],"['23483634', '28007376']"
Q9BXS0,COL25A1,COPA1_HUMAN,Collagen alpha-1(XXV) chain,['MTLE'],"['23483634', '28007376']"
A6NK44,GLOD5,GLOD5_HUMAN,Glyoxalase domain-containing protein 5,['MTLE'],"['23483634', '28007376']"
Q96MG2,JSRP1,JSPR1_HUMAN,Junctional sarcoplasmic reticulum protein 1,['MTLE'],"['23483634', '28007376']"
Q16363,LAMA4,LAMA4_HUMAN,Laminin subunit alpha-4,['MTLE'],"['17515952', '28007376']"
Q86Y46,KRT73,K2C73_HUMAN,"Keratin, type II cytoskeletal 73",['MTLE'],"['23483634', '28007376']"
Q8TD06,AGR3,AGR3_HUMAN,Anterior gradient protein 3,['MTLE'],"['23483634', '28007376']"
P01909,HLA-DQA1,DQA1_HUMAN,"HLA class II histocompatibility antigen, DQ alpha 1 chain",['MTLE'],"['17515952', '28007376']"
Q5JSP0,FGD3,FGD3_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 3",['MTLE'],"['23483634', '28007376']"
P31260,HOXA10,HXA10_HUMAN,Homeobox protein Hox-A10,['MTLE'],"['23483634', '28007376']"
P18564,ITGB6,ITB6_HUMAN,Integrin beta-6,['MTLE'],"['23483634', '28007376']"
P61371,ISL1,ISL1_HUMAN,Insulin gene enhancer protein ISL-1,['MTLE'],"['23483634', '28007376']"
A6NDP7,MYADML2,MADL2_HUMAN,Myeloid-associated differentiation marker-like protein 2,['MTLE'],"['23483634', '28007376']"
P02741,CRP,CRP_HUMAN,C-reactive protein,['FCD'],"['26306771', '28007376']"
O60346,PHLPP1,PHLP1_HUMAN,PH domain leucine-rich repeat-containing protein phosphatase 1,['FCD'],"['31857538', '28007376']"
Q15382,RHEB,RHEB_HUMAN,GTP-binding protein Rheb,['FCD'],"['31857538', '28007376']"
P42345,MTOR,MTOR_HUMAN,Serine/threonine-protein kinase mTOR,['FCD'],"['31857538', '28007376']"
P42336,PIK3CA,PK3CA_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",['FCD'],"['31857538', '28007376']"
O15530,PDPK1,PDPK1_HUMAN,3-phosphoinositide-dependent protein kinase 1,['FCD'],"['31857538', '28007376']"
A8MYZ6,FOXO6,FOXO6_HUMAN,Forkhead box protein O6,['FCD'],"['31857538', '28007376']"
P50148,GNAQ,GNAQ_HUMAN,Guanine nucleotide-binding protein G(q) subunit alpha,['FCD'],"['31857538', '28007376']"
O60706,ABCC9,ABCC9_HUMAN,ATP-binding cassette sub-family C member 9,['Hippocampal Sclerosis'],"['28131462', '28007376']"
Q9NUM4,TMEM106B,T106B_HUMAN,Transmembrane protein 106B,['Hippocampal Sclerosis'],"['28131462', '28007376']"
Q9Y691,KCNMB2,KCMB2_HUMAN,Calcium-activated potassium channel subunit beta-2,['Hippocampal Sclerosis'],"['28131462', '28007376']"
P28799,GRN,GRN_HUMAN,Progranulin,['Hippocampal Sclerosis'],"['28131462', '28007376']"
P35414,APLNR,APJ_HUMAN,Apelin receptor,['MTLE-HS'],"['30932156', '28007376']"
Q8N9I0,SYT2,SYT2_HUMAN,Synaptotagmin-2,['MTLE-HS'],"['30932156', '28007376']"
Q9C000,NLRP1,NLRP1_HUMAN,"NACHT, LRR and PYD domains-containing protein 1",['MTLE-HS'],"['27094248', '28007376']"
P20472,PVALB,PRVA_HUMAN,Parvalbumin alpha,['MTLE-HS'],"['30932156', '28007376']"
P12036,NEFH,NFH_HUMAN,Neurofilament heavy polypeptide,['MTLE-HS'],"['30932156', '28007376']"
Q7L5Y1,ENOSF1,ENOF1_HUMAN,Mitochondrial enolase superfamily member 1,['MTLE-HS'],"['30932156', '28007376']"
Q9BPV8,P2RY13,P2Y13_HUMAN,P2Y purinoceptor 13,['MTLE-HS'],"['30932156', '28007376']"
Q96NK8,NEUROD6,NDF6_HUMAN,Neurogenic differentiation factor 6,['MTLE-HS'],"['27094248', '28007376']"
O95992,CH25H,CH25H_HUMAN,Cholesterol 25-hydroxylase,['MTLE-HS'],"['30932156', '28007376']"
P01024,C3,CO3_HUMAN,Complement C3,['MTLE-HS'],"['30932156', '28007376']"
P02787,TF,TRFE_HUMAN,Serotransferrin,['MTLE-HS'],"['30932156', '28007376']"
Q9BWW7,SCRT1,SCRT1_HUMAN,Transcriptional repressor scratch 1,['MTLE-HS'],"['27094248', '28007376']"
P37173,TGFBR2,TGFR2_HUMAN,TGF-beta receptor type-2,['MTLE-HS'],"['27094248', '28007376']"
Q8NFR3,SPTSSB,SPTSB_HUMAN,Serine palmitoyltransferase small subunit B,['MTLE-HS'],"['30932156', '28007376']"
Q14242,SELPLG,SELPL_HUMAN,P-selectin glycoprotein ligand 1,['MTLE-HS'],"['30932156', '28007376']"
Q08116,RGS1,RGS1_HUMAN,Regulator of G-protein signaling 1,['MTLE-HS'],"['30932156', '28007376']"
P68871,HBB,HBB_HUMAN,Hemoglobin subunit beta,['MTLE-HS'],"['30932156', '28007376']"
P67870,CSNK2B,CSK2B_HUMAN,Casein kinase II subunit beta,['MTLE-HS'],"['27094248', '28007376']"
Q9NZU7,CABP1,CABP1_HUMAN,Calcium-binding protein 1,['MTLE-HS'],"['27094248', '28007376']"
P49238,CX3CR1,CX3C1_HUMAN,CX3C chemokine receptor 1,['MTLE-HS'],"['30932156', '28007376']"
P06241,FYN,FYN_HUMAN,Tyrosine-protein kinase Fyn,['MTLE-HS'],"['27094248', '28007376']"
P02042,HBD,HBD_HUMAN,Hemoglobin subunit delta,['MTLE-HS'],"['30932156', '28007376']"
P01100,FOS,FOS_HUMAN,Proto-oncogene c-Fos,['MTLE-HS'],"['30932156', '28007376']"
Q13571,LAPTM5,LAPM5_HUMAN,Lysosomal-associated transmembrane protein 5,['MTLE-HS'],"['30932156', '28007376']"
Q9UPC5,GPR34,GPR34_HUMAN,Probable G-protein coupled receptor 34,['MTLE-HS'],"['30932156', '28007376']"
Q86UW8,HAPLN4,HPLN4_HUMAN,Hyaluronan and proteoglycan link protein 4,['MTLE-HS'],"['30932156', '28007376']"
P01011,SERPINA3,AACT_HUMAN,Alpha-1-antichymotrypsin,['MTLE-HS'],"['30932156', '28007376']"
P34910,EVI2B,EVI2B_HUMAN,Protein EVI2B,['MTLE-HS'],"['30932156', '28007376']"
Q12840,KIF5A,KIF5A_HUMAN,Kinesin heavy chain isoform 5A,['MTLE-HS'],"['27094248', '28007376']"
Q9P0X4,CACNA1I,CAC1I_HUMAN,Voltage-dependent T-type calcium channel subunit alpha-1I,['CAE'],"['28165634', '28007376']"
P05111,INHA,INHA_HUMAN,Inhibin alpha chain,['JAE'],"['22206818', '28007376']"
Q9NXR1,NDE1,NDE1_HUMAN,Nuclear distribution protein nudE homolog 1,['JME'],"['29924869', '28007376']"
P15328,FOLR1,FOLR1_HUMAN,Folate receptor alpha,['JME'],"['29924869', '28007376']"
P50440,GATM,GATM_HUMAN,"Glycine amidinotransferase, mitochondrial",['JME'],"['29924869', '28007376']"
Q5JST6,EFHC2,EFHC2_HUMAN,EF-hand domain-containing family member C2,['JME'],"['29924869', '28007376']"
P48165,GJA8,CXA8_HUMAN,Gap junction alpha-8 protein,['JME'],"['29924869', '28007376']"
Q99741,CDC6,CDC6_HUMAN,Cell division control protein 6 homolog,['-'],[25934463]
Q9H422,HIPK3,HIPK3_HUMAN,Homeodomain-interacting protein kinase 3,['-'],[29976148]
P01375,TNF,TNFA_HUMAN,Tumor necrosis factor,['-'],[32841085]
P48061,CXCL12,SDF1_HUMAN,Stromal cell-derived factor 1,['-'],"[24355813, 31672961]"
P25106,ACKR3,ACKR3_HUMAN,Atypical chemokine receptor 3,['-'],[31672961]
Q07820,MCL1,MCL1_HUMAN,Induced myeloid leukemia cell differentiation protein Mcl-1,['-'],[15286683]
