Uniprot ID,Gene Name,Uniprot Name,Protein Name
C9JXX5,C11orf94,CK094_HUMAN,Uncharacterized protein C11orf94
Q8IZ83,ALDH16A1,A16A1_HUMAN,Aldehyde dehydrogenase family 16 member A1
Q8N123,CPXCR1,CPXCR_HUMAN,CPX chromosomal region candidate gene 1 protein
O60716,CTNND1,CTND1_HUMAN,Catenin delta-1
A2A2Z9,ANKRD18B,AN18B_HUMAN,Ankyrin repeat domain-containing protein 18B
Q86X52,CHSY1,CHSS1_HUMAN,Chondroitin sulfate synthase 1
Q8N129,CNPY4,CNPY4_HUMAN,Protein canopy homolog 4
Q02246,CNTN2,CNTN2_HUMAN,Contactin-2
Q8N0X4,CLYBL,CLYBL_HUMAN,"Citramalyl-CoA lyase, mitochondrial"
Q02928,CYP4A11,CP4AB_HUMAN,Cytochrome P450 4A11
P09228,CST2,CYTT_HUMAN,Cystatin-SA
P32321,DCTD,DCTD_HUMAN,Deoxycytidylate deaminase
Q8WU58,FAM222B,F222B_HUMAN,Protein FAM222B
Q13474,DRP2,DRP2_HUMAN,Dystrophin-related protein 2
P28715,ERCC5,ERCC5_HUMAN,DNA repair protein complementing XP-G cells
Q9BXX3,ANKRD30A,AN30A_HUMAN,Ankyrin repeat domain-containing protein 30A
Q9Y2E4,DIP2C,DIP2C_HUMAN,Disco-interacting protein 2 homolog C
Q86UY5,FAM83A,FA83A_HUMAN,Protein FAM83A
P14416,DRD2,DRD2_HUMAN,D(2) dopamine receptor
Q86SX6,GLRX5,GLRX5_HUMAN,"Glutaredoxin-related protein 5, mitochondrial"
Q9NYA3,GOLGA6A,GOG6A_HUMAN,Golgin subfamily A member 6A
Q9UBX5,FBLN5,FBLN5_HUMAN,Fibulin-5
O43739,CYTH3,CYH3_HUMAN,Cytohesin-3
Q92841,DDX17,DDX17_HUMAN,Probable ATP-dependent RNA helicase DDX17
Q02790,FKBP4,FKBP4_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP4
Q9H0Q0,FAM49A,FA49A_HUMAN,Protein FAM49A
P28562,DUSP1,DUS1_HUMAN,Dual specificity protein phosphatase 1
O60443,GSDME,GSDME_HUMAN,Gasdermin-E
P39059,COL15A1,COFA1_HUMAN,Collagen alpha-1(XV) chain
Q13705,ACVR2B,AVR2B_HUMAN,Activin receptor type-2B
Q8N6G1,LINC00337,CA211_HUMAN,Putative uncharacterized protein encoded by LINC00337
P21926,CD9,CD9_HUMAN,CD9 antigen
P22748,CA4,CAH4_HUMAN,Carbonic anhydrase 4
Q9Y232,CDYL,CDYL_HUMAN,Chromodomain Y-like protein
Q9HC77,CENPJ,CENPJ_HUMAN,Centromere protein J
P23435,CBLN1,CBLN1_HUMAN,Cerebellin-1
O00154,ACOT7,BACH_HUMAN,Cytosolic acyl coenzyme A thioester hydrolase
P0DMS8,ADORA3,AA3R_HUMAN,Adenosine receptor A3
Q7Z695,ADCK2,ADCK2_HUMAN,Uncharacterized aarF domain-containing protein kinase 2
Q8N7W2,BEND7,BEND7_HUMAN,BEN domain-containing protein 7
P06731,CEACAM5,CEAM5_HUMAN,Carcinoembryonic antigen-related cell adhesion molecule 5
Q96B36,AKT1S1,AKTS1_HUMAN,Proline-rich AKT1 substrate 1
Q15389,ANGPT1,ANGP1_HUMAN,Angiopoietin-1
Q9TNN7,HLA-C,1C05_HUMAN,"HLA class I histocompatibility antigen, Cw-5 alpha chain"
P15848,ARSB,ARSB_HUMAN,Arylsulfatase B
Q99715,COL12A1,COCA1_HUMAN,Collagen alpha-1(XII) chain
Q9Y3Q7,ADAM18,ADA18_HUMAN,Disintegrin and metalloproteinase domain-containing protein 18
Q86V21,AACS,AACS_HUMAN,Acetoacetyl-CoA synthetase
Q6UXS9,CASP12,CASPC_HUMAN,Inactive caspase-12
P25100,ADRA1D,ADA1D_HUMAN,Alpha-1D adrenergic receptor
Q5JWF8,ACTL10,ACL10_HUMAN,Actin-like protein 10
Q0P5N6,ARL16,ARL16_HUMAN,ADP-ribosylation factor-like protein 16
O60706,ABCC9,ABCC9_HUMAN,ATP-binding cassette sub-family C member 9
Q96GX8,C16orf74,CP074_HUMAN,Uncharacterized protein C16orf74
O00257,CBX4,CBX4_HUMAN,E3 SUMO-protein ligase CBX4
P30486,HLA-B,1B48_HUMAN,"HLA class I histocompatibility antigen, B-48 alpha chain"
Q29940,HLA-B,1B59_HUMAN,"HLA class I histocompatibility antigen, B-59 alpha chain"
P28222,HTR1B,5HT1B_HUMAN,5-hydroxytryptamine receptor 1B
P30498,HLA-B,1B78_HUMAN,"HLA class I histocompatibility antigen, B-78 alpha chain"
Q9H553,ALG2,ALG2_HUMAN,"Alpha-1,3/1,6-mannosyltransferase ALG2"
Q9NR63,CYP26B1,CP26B_HUMAN,Cytochrome P450 26B1
Q7Z6R9,TFAP2D,AP2D_HUMAN,Transcription factor AP-2-delta
P55289,CDH12,CAD12_HUMAN,Cadherin-12
P28221,HTR1D,5HT1D_HUMAN,5-hydroxytryptamine receptor 1D
P00403,MT-CO2,COX2_HUMAN,Cytochrome c oxidase subunit 2
Q6V0L0,CYP26C1,CP26C_HUMAN,Cytochrome P450 26C1
Q76N32,CEP68,CEP68_HUMAN,Centrosomal protein of 68 kDa
Q9NUZ1,ACOXL,ACOXL_HUMAN,Acyl-coenzyme A oxidase-like protein
Q8N4C9,C17orf78,CQ078_HUMAN,Uncharacterized protein C17orf78
Q0VDD5,MIR22HG,CQ091_HUMAN,Putative uncharacterized protein encoded by MIR22HG
Q00532,CDKL1,CDKL1_HUMAN,Cyclin-dependent kinase-like 1
Q00526,CDK3,CDK3_HUMAN,Cyclin-dependent kinase 3
Q96N11,C7orf26,CG026_HUMAN,Uncharacterized protein C7orf26
Q92772,CDKL2,CDKL2_HUMAN,Cyclin-dependent kinase-like 2
Q9NQ32,C11orf16,CK016_HUMAN,Uncharacterized protein C11orf16
Q9P2M7,CGN,CING_HUMAN,Cingulin
Q9C0I3,CCSER1,CCSE1_HUMAN,Serine-rich coiled-coil domain-containing protein 1
Q6UWJ8,CD164L2,C16L2_HUMAN,CD164 sialomucin-like 2 protein
P53420,COL4A4,CO4A4_HUMAN,Collagen alpha-4(IV) chain
Q9H7U1,CCSER2,CCSE2_HUMAN,Serine-rich coiled-coil domain-containing protein 2
Q8IVW4,CDKL3,CDKL3_HUMAN,Cyclin-dependent kinase-like 3
Q96D53,COQ8B,COQ8B_HUMAN,"Atypical kinase COQ8B, mitochondrial"
Q5EBM0,CMPK2,CMPK2_HUMAN,"UMP-CMP kinase 2, mitochondrial"
Q9NUG4,CCM2L,CCM2L_HUMAN,Cerebral cavernous malformations 2 protein-like
Q92688,ANP32B,AN32B_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member B
P30043,BLVRB,BLVRB_HUMAN,Flavin reductase (NADPH)
P21399,ACO1,ACOC_HUMAN,Cytoplasmic aconitate hydratase
A5PLL1,ANKRD34B,AN34B_HUMAN,Ankyrin repeat domain-containing protein 34B
Q9P2X0,DPM3,DPM3_HUMAN,Dolichol-phosphate mannosyltransferase subunit 3
Q6W349,LINC00575,CD011_HUMAN,Putative uncharacterized protein encoded by LINC00575
P59827,BPIFB4,BPIB4_HUMAN,BPI fold-containing family B member 4
Q8IY42,C4orf19,CD019_HUMAN,Uncharacterized protein C4orf19
P51798,CLCN7,CLCN7_HUMAN,H(+)/Cl(-) exchange transporter 7
Q9GZN8,C20orf27,CT027_HUMAN,UPF0687 protein C20orf27
P05937,CALB1,CALB1_HUMAN,Calbindin
P54646,PRKAA2,AAPK2_HUMAN,5'-AMP-activated protein kinase catalytic subunit alpha-2
P58397,ADAMTS12,ATS12_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 12
Q9H8E8,KAT14,CSR2B_HUMAN,Cysteine-rich protein 2-binding protein
Q6VVX0,CYP2R1,CP2R1_HUMAN,Vitamin D 25-hydroxylase
P51911,CNN1,CNN1_HUMAN,Calponin-1
Q8WVB6,CHTF18,CTF18_HUMAN,Chromosome transmission fidelity protein 18 homolog
O95147,DUSP14,DUS14_HUMAN,Dual specificity protein phosphatase 14
P06746,POLB,DPOLB_HUMAN,DNA polymerase beta
Q6PIW4,FIGNL1,FIGL1_HUMAN,Fidgetin-like protein 1
Q96PT3,DUX5,DUX5_HUMAN,Double homeobox protein 5
Q9BXV9,GON7,GON7_HUMAN,EKC/KEOPS complex subunit GON7
Q5VYV0,FOXB2,FOXB2_HUMAN,Forkhead box protein B2
Q9UBX2,DUX4,DUX4_HUMAN,Double homeobox protein 4
Q9GZN0,GPR88,GPR88_HUMAN,Probable G-protein coupled receptor 88
Q14155,ARHGEF7,ARHG7_HUMAN,Rho guanine nucleotide exchange factor 7
P55957,BID,BID_HUMAN,BH3-interacting domain death agonist
Q8N4S0,CCDC82,CCD82_HUMAN,Coiled-coil domain-containing protein 82
Q14444,CAPRIN1,CAPR1_HUMAN,Caprin-1
Q7RTU5,ASCL5,ASCL5_HUMAN,Achaete-scute homolog 5
A6NI56,CCDC154,CC154_HUMAN,Coiled-coil domain-containing protein 154
Q5T8R8,C9orf66,CI066_HUMAN,Uncharacterized protein C9orf66
Q53SF7,COBLL1,COBL1_HUMAN,Cordon-bleu protein-like 1
Q9UKF5,ADAM29,ADA29_HUMAN,Disintegrin and metalloproteinase domain-containing protein 29
P05534,HLA-A,1A24_HUMAN,"HLA class I histocompatibility antigen, A-24 alpha chain"
P45844,ABCG1,ABCG1_HUMAN,ATP-binding cassette sub-family G member 1
Q86WX3,RPS19BP1,AROS_HUMAN,Active regulator of SIRT1
Q9H845,ACAD9,ACAD9_HUMAN,"Acyl-CoA dehydrogenase family member 9, mitochondrial"
Q68D86,CCDC102B,C102B_HUMAN,Coiled-coil domain-containing protein 102B
Q8ND76,CCNY,CCNY_HUMAN,Cyclin-Y
Q8NFD2,ANKK1,ANKK1_HUMAN,Ankyrin repeat and protein kinase domain-containing protein 1
P30461,HLA-B,1B13_HUMAN,"HLA class I histocompatibility antigen, B-13 alpha chain"
O95260,ATE1,ATE1_HUMAN,Arginyl-tRNA--protein transferase 1
Q96A70,AZIN2,AZIN2_HUMAN,Antizyme inhibitor 2
Q5SY13,COL5A1-AS1,COAS1_HUMAN,Putative uncharacterized protein encoded by COL5A1-AS1
Q9UNQ0,ABCG2,ABCG2_HUMAN,ATP-binding cassette sub-family G member 2
B7Z1M9,C2CD4D,C2D4D_HUMAN,C2 calcium-dependent domain-containing protein 4D
O94921,CDK14,CDK14_HUMAN,Cyclin-dependent kinase 14
Q15825,CHRNA6,ACHA6_HUMAN,Neuronal acetylcholine receptor subunit alpha-6
Q99807,COQ7,COQ7_HUMAN,"5-demethoxyubiquinone hydroxylase, mitochondrial"
Q8N6M6,AOPEP,AMPO_HUMAN,Aminopeptidase O
Q9H221,ABCG8,ABCG8_HUMAN,ATP-binding cassette sub-family G member 8
Q7L311,ARMCX2,ARMX2_HUMAN,Armadillo repeat-containing X-linked protein 2
Q9NXL2,ARHGEF38,ARH38_HUMAN,Rho guanine nucleotide exchange factor 38
Q9HDC9,APMAP,APMAP_HUMAN,Adipocyte plasma membrane-associated protein
P30533,LRPAP1,AMRP_HUMAN,Alpha-2-macroglobulin receptor-associated protein
P07355,ANXA2,ANXA2_HUMAN,Annexin A2
P08195,SLC3A2,4F2_HUMAN,4F2 cell-surface antigen heavy chain
P12107,COL11A1,COBA1_HUMAN,Collagen alpha-1(XI) chain
Q96BA8,CREB3L1,CR3L1_HUMAN,Cyclic AMP-responsive element-binding protein 3-like protein 1
Q96RY5,CRAMP1,CRML_HUMAN,Protein cramped-like
Q9NUD7,C20orf96,CT096_HUMAN,Uncharacterized protein C20orf96
P12429,ANXA3,ANXA3_HUMAN,Annexin A3
Q9P0P8,C6orf203,CF203_HUMAN,Uncharacterized protein C6orf203
Q5T4H9,CASC10,CSC10_HUMAN,Protein CASC10
Q9NPZ5,B3GAT2,B3GA2_HUMAN,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2
O75829,CNMD,CNMD_HUMAN,Leukocyte cell-derived chemotaxin 1
Q99439,CNN2,CNN2_HUMAN,Calponin-2
P08908,HTR1A,5HT1A_HUMAN,5-hydroxytryptamine receptor 1A
Q7Z7G1,CLNK,CLNK_HUMAN,Cytokine-dependent hematopoietic cell linker
O95476,CTDNEP1,CNEP1_HUMAN,CTD nuclear envelope phosphatase 1
Q5TEA3,C20orf194,CT194_HUMAN,Uncharacterized protein C20orf194
Q8WXI8,CLEC4D,CLC4D_HUMAN,C-type lectin domain family 4 member D
P52943,CRIP2,CRIP2_HUMAN,Cysteine-rich protein 2
Q5VTU8,ATP5F1EP2,AT5EL_HUMAN,"ATP synthase subunit epsilon-like protein, mitochondrial"
P16860,NPPB,ANFB_HUMAN,Natriuretic peptides B
P49711,CTCF,CTCF_HUMAN,Transcriptional repressor CTCF
Q86YS7,C2CD5,C2CD5_HUMAN,C2 domain-containing protein 5
P98198,ATP8B2,AT8B2_HUMAN,Phospholipid-transporting ATPase ID
Q5VZT2,C10orf113,CJ113_HUMAN,Putative uncharacterized protein C10orf113
Q9NZQ0,DNAJC27,DJC27_HUMAN,DnaJ homolog subfamily C member 27
Q9NTM9,CUTC,CUTC_HUMAN,Copper homeostasis protein cutC homolog
Q6ZT52,FAM43B,FA43B_HUMAN,Protein FAM43B
Q01543,FLI1,FLI1_HUMAN,Friend leukemia integration 1 transcription factor
Q9NYY8,FASTKD2,FAKD2_HUMAN,"FAST kinase domain-containing protein 2, mitochondrial"
P01906,HLA-DQA2,DQA2_HUMAN,"HLA class II histocompatibility antigen, DQ alpha 2 chain"
Q92935,EXTL1,EXTL1_HUMAN,Exostosin-like 1
Q7Z5Q5,POLN,DPOLN_HUMAN,DNA polymerase nu
P52566,ARHGDIB,GDIR2_HUMAN,Rho GDP-dissociation inhibitor 2
A0A2Z4LIS9,FOXO3B,FXO3B_HUMAN,Forkhead box protein O3B
Q96CU9,FOXRED1,FXRD1_HUMAN,FAD-dependent oxidoreductase domain-containing protein 1
F2Z333,FNDC10,FND10_HUMAN,Fibronectin type III domain-containing protein 10
P0C854,CECR9,CECR9_HUMAN,Putative cat eye syndrome critical region protein 9
Q9UL45,BLOC1S6,BL1S6_HUMAN,Biogenesis of lysosome-related organelles complex 1 subunit 6
Q9NWT8,AURKAIP1,AKIP_HUMAN,Aurora kinase A-interacting protein
A6QL63,BTBD11,BTBDB_HUMAN,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11
O43570,CA12,CAH12_HUMAN,Carbonic anhydrase 12
Q9NV96,TMEM30A,CC50A_HUMAN,Cell cycle control protein 50A
A6NKD9,CCDC85C,CC85C_HUMAN,Coiled-coil domain-containing protein 85C
P00918,CA2,CAH2_HUMAN,Carbonic anhydrase 2
Q9H6L4,ARMC7,ARMC7_HUMAN,Armadillo repeat-containing protein 7
Q6IMN6,CAPRIN2,CAPR2_HUMAN,Caprin-2
Q5VVM6,CCDC30,CCD30_HUMAN,Coiled-coil domain-containing protein 30
Q06187,BTK,BTK_HUMAN,Tyrosine-protein kinase BTK
Q49A92,C8orf34,CH034_HUMAN,Uncharacterized protein C8orf34
P43166,CA7,CAH7_HUMAN,Carbonic anhydrase 7
Q8IX12,CCAR1,CCAR1_HUMAN,Cell division cycle and apoptosis regulator protein 1
P0C221,CCDC175,CC175_HUMAN,Coiled-coil domain-containing protein 175
Q8N1M1,BEST3,BEST3_HUMAN,Bestrophin-3
Q99856,ARID3A,ARI3A_HUMAN,AT-rich interactive domain-containing protein 3A
Q8TAM1,BBS10,BBS10_HUMAN,Bardet-Biedl syndrome 10 protein
Q58HT5,AWAT1,AWAT1_HUMAN,Acyl-CoA wax alcohol acyltransferase 1
Q5VT79,ANXA8L1,AXA81_HUMAN,Annexin A8-like protein 1
O15234,CASC3,CASC3_HUMAN,Protein CASC3
P84996,GNAS,ALEX_HUMAN,Protein ALEX
Q7KZN9,COX15,COX15_HUMAN,Cytochrome c oxidase assembly protein COX15 homolog
Q8N1V2,CFAP52,CFA52_HUMAN,Cilia- and flagella-associated protein 52
Q96EG1,ARSG,ARSG_HUMAN,Arylsulfatase G
Q14781,CBX2,CBX2_HUMAN,Chromobox protein homolog 2
P0DP24,CALM2,CALM2_HUMAN,Calmodulin-2
Q96Q77,CIB3,CIB3_HUMAN,Calcium and integrin-binding family member 3
Q01850,CDR2,CDR2_HUMAN,Cerebellar degeneration-related protein 2
Q8TC27,ADAM32,ADA32_HUMAN,Disintegrin and metalloproteinase domain-containing protein 32
P10747,CD28,CD28_HUMAN,T-cell-specific surface glycoprotein CD28
Q96K17,BTF3L4,BT3L4_HUMAN,Transcription factor BTF3 homolog 4
Q96BT1,C3orf49,CC049_HUMAN,Putative uncharacterized protein C3orf49
Q6ZVT6,C3orf67,CC067_HUMAN,Uncharacterized protein C3orf67
Q9NYB9,ABI2,ABI2_HUMAN,Abl interactor 2
O95445,APOM,APOM_HUMAN,Apolipoprotein M
A5D8W1,CFAP69,CFA69_HUMAN,Cilia- and flagella-associated protein 69
P18463,HLA-B,1B37_HUMAN,"HLA class I histocompatibility antigen, B-37 alpha chain"
Q8NCV1,ADAD2,ADAD2_HUMAN,Adenosine deaminase domain-containing protein 2
Q9Y2G4,ANKRD6,ANKR6_HUMAN,Ankyrin repeat domain-containing protein 6
C9J302,C4orf51,CD051_HUMAN,Uncharacterized protein C4orf51
Q00536,CDK16,CDK16_HUMAN,Cyclin-dependent kinase 16
O94973,AP2A2,AP2A2_HUMAN,AP-2 complex subunit alpha-2
Q5TZF3,ANKRD45,ANR45_HUMAN,Ankyrin repeat domain-containing protein 45
Q9HCE9,ANO8,ANO8_HUMAN,Anoctamin-8
P11511,CYP19A1,CP19A_HUMAN,Aromatase
Q86X95,CIR1,CIR1_HUMAN,Corepressor interacting with RBPJ 1
O95450,ADAMTS2,ATS2_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 2
Q6IQ19,CCSAP,CCSAP_HUMAN,"Centriole, cilia and spindle-associated protein"
Q8N0U6,LINC00518,CF218_HUMAN,Putative uncharacterized protein encoded by LINC00518
Q6XLA1,CASC2,CSC2A_HUMAN,"Protein CASC2, isoform 3"
Q9NRG0,CHRAC1,CHRC1_HUMAN,Chromatin accessibility complex protein 1
O75173,ADAMTS4,ATS4_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 4
Q9GZY4,COA1,COA1_HUMAN,Cytochrome c oxidase assembly factor 1 homolog
O95832,CLDN1,CLD1_HUMAN,Claudin-1
Q8N6M3,FITM2,FITM2_HUMAN,Fat storage-inducing transmembrane protein 2
Q96EP1,CHFR,CHFR_HUMAN,E3 ubiquitin-protein ligase CHFR
Q7Z7J9,CAMK2N1,CK2N1_HUMAN,Calcium/calmodulin-dependent protein kinase II inhibitor 1
P22792,CPN2,CPN2_HUMAN,Carboxypeptidase N subunit 2
P17735,TAT,ATTY_HUMAN,Tyrosine aminotransferase
O75131,CPNE3,CPNE3_HUMAN,Copine-3
O00253,AGRP,AGRP_HUMAN,Agouti-related protein
P0C5J1,FAM86B2,F86B2_HUMAN,Putative protein N-methyltransferase FAM86B2
Q92600,CNOT9,CNOT9_HUMAN,CCR4-NOT transcription complex subunit 9
Q8NBU5,ATAD1,ATAD1_HUMAN,ATPase family AAA domain-containing protein 1
Q86SQ6,ADGRA1,AGRA1_HUMAN,Adhesion G protein-coupled receptor A1
Q9H2P0,ADNP,ADNP_HUMAN,Activity-dependent neuroprotector homeobox protein
Q96SM3,CPXM1,CPXM1_HUMAN,Probable carboxypeptidase X1
P29274,ADORA2A,AA2AR_HUMAN,Adenosine receptor A2a
O60565,GREM1,GREM1_HUMAN,Gremlin-1
Q96FX2,DPH3,DPH3_HUMAN,DPH3 homolog
Q6DWJ6,GPR139,GP139_HUMAN,Probable G-protein coupled receptor 139
A2A2Y4,FRMD3,FRMD3_HUMAN,FERM domain-containing protein 3
Q5T1V6,DDX59,DDX59_HUMAN,Probable ATP-dependent RNA helicase DDX59
Q8IYD8,FANCM,FANCM_HUMAN,Fanconi anemia group M protein
P98095,FBLN2,FBLN2_HUMAN,Fibulin-2
O95749,GGPS1,GGPPS_HUMAN,Geranylgeranyl pyrophosphate synthase
Q96D05,FAM241B,F241B_HUMAN,Uncharacterized protein FAM241B
O95967,EFEMP2,FBLN4_HUMAN,EGF-containing fibulin-like extracellular matrix protein 2
Q8WWM9,CYGB,CYGB_HUMAN,Cytoglobin
Q8TDF6,RASGRP4,GRP4_HUMAN,RAS guanyl-releasing protein 4
P13284,IFI30,GILT_HUMAN,Gamma-interferon-inducible lysosomal thiol reductase
Q15760,GPR19,GPR19_HUMAN,Probable G-protein coupled receptor 19
Q5H8C1,FREM1,FREM1_HUMAN,FRAS1-related extracellular matrix protein 1
Q99678,GPR20,GPR20_HUMAN,G-protein coupled receptor 20
Q9P0K8,FOXJ2,FOXJ2_HUMAN,Forkhead box protein J2
Q5VTL7,FNDC7,FNDC7_HUMAN,Fibronectin type III domain-containing protein 7
Q10981,FUT2,FUT2_HUMAN,Galactoside 2-alpha-L-fucosyltransferase 2
Q06265,EXOSC9,EXOS9_HUMAN,Exosome complex component RRP45
P11532,DMD,DMD_HUMAN,Dystrophin
P98173,FAM3A,FAM3A_HUMAN,Protein FAM3A
Q96AY3,FKBP10,FKB10_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP10
Q9UKJ3,GPATCH8,GPTC8_HUMAN,G patch domain-containing protein 8
Q9Y297,BTRC,FBW1A_HUMAN,F-box/WD repeat-containing protein 1A
A6NMN3,FAM170B,F170B_HUMAN,Protein FAM170B
P05305,EDN1,EDN1_HUMAN,Endothelin-1
Q13686,ALKBH1,ALKB1_HUMAN,Nucleic acid dioxygenase ALKBH1
Q9Y2D1,ATF5,ATF5_HUMAN,Cyclic AMP-dependent transcription factor ATF-5
Q8IYS8,BOD1L2,BD1L2_HUMAN,Biorientation of chromosomes in cell division protein 1-like 2
Q8N6N3,C1orf52,CA052_HUMAN,UPF0690 protein C1orf52
Q0P6D6,CCDC15,CCD15_HUMAN,Coiled-coil domain-containing protein 15
O60826,CCDC22,CCD22_HUMAN,Coiled-coil domain-containing protein 22
Q86WR0,CCDC25,CCD25_HUMAN,Coiled-coil domain-containing protein 25
P49747,COMP,COMP_HUMAN,Cartilage oligomeric matrix protein
P51587,BRCA2,BRCA2_HUMAN,Breast cancer type 2 susceptibility protein
P16220,CREB1,CREB1_HUMAN,Cyclic AMP-responsive element-binding protein 1
P15086,CPB1,CBPB1_HUMAN,Carboxypeptidase B
O75143,ATG13,ATG13_HUMAN,Autophagy-related protein 13
Q6XD76,ASCL4,ASCL4_HUMAN,Achaete-scute homolog 4
Q8N5R6,CCDC33,CCD33_HUMAN,Coiled-coil domain-containing protein 33
Q9H7E9,C8orf33,CH033_HUMAN,UPF0488 protein C8orf33
P20160,AZU1,CAP7_HUMAN,Azurocidin
Q5VUY0,AADACL3,ADCL3_HUMAN,Arylacetamide deacetylase-like 3
P11274,BCR,BCR_HUMAN,Breakpoint cluster region protein
Q96MD7,C9orf85,CI085_HUMAN,Uncharacterized protein C9orf85
P01892,HLA-A,1A02_HUMAN,"HLA class I histocompatibility antigen, A-2 alpha chain"
O95342,ABCB11,ABCBB_HUMAN,Bile salt export pump
Q8NHY0,B4GALNT2,B4GN2_HUMAN,"Beta-1,4 N-acetylgalactosaminyltransferase 2"
Q9Y6N1,COX11,COX11_HUMAN,"Cytochrome c oxidase assembly protein COX11, mitochondrial"
Q86UB2,BIVM,BIVM_HUMAN,Basic immunoglobulin-like variable motif-containing protein
P30512,HLA-A,1A29_HUMAN,"HLA class I histocompatibility antigen, A-29 alpha chain"
Q8N1B3,CCNQ,CCNQ_HUMAN,Cyclin-Q
Q9NVI7,ATAD3A,ATD3A_HUMAN,ATPase family AAA domain-containing protein 3A
Q9H693,C16orf95,CP095_HUMAN,Uncharacterized protein C16orf95
Q9HCJ1,ANKH,ANKH_HUMAN,Progressive ankylosis protein homolog
Q7L4S7,ARMCX6,ARMX6_HUMAN,Protein ARMCX6
Q15057,ACAP2,ACAP2_HUMAN,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"
P13500,CCL2,CCL2_HUMAN,C-C motif chemokine 2
P42684,ABL2,ABL2_HUMAN,Tyrosine-protein kinase ABL2
Q8NI28,LINC01006,CG013_HUMAN,Putative uncharacterized protein encoded by LINC01006
P05026,ATP1B1,AT1B1_HUMAN,Sodium/potassium-transporting ATPase subunit beta-1
Q9GZU0,C6orf62,CF062_HUMAN,Uncharacterized protein C6orf62
Q9NPY3,CD93,C1QR1_HUMAN,Complement component C1q receptor
P27695,APEX1,APEX1_HUMAN,DNA-(apurinic or apyrimidinic site) lyase
Q5T5N4,C6orf118,CF118_HUMAN,Uncharacterized protein C6orf118
P20023,CR2,CR2_HUMAN,Complement receptor type 2
Q06278,AOX1,AOXA_HUMAN,Aldehyde oxidase
Q9P2E5,CHPF2,CHPF2_HUMAN,Chondroitin sulfate glucuronyltransferase
Q9Y6H3,ATP23,ATP23_HUMAN,Mitochondrial inner membrane protease ATP23 homolog
Q13956,PDE6H,CNCG_HUMAN,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
Q9H0W9,C11orf54,CK054_HUMAN,Ester hydrolase C11orf54
Q9H1P6,C20orf85,CT085_HUMAN,Uncharacterized protein C20orf85
P13942,COL11A2,COBA2_HUMAN,Collagen alpha-2(XI) chain
Q8N6F1,CLDN19,CLD19_HUMAN,Claudin-19
P10109,FDX1,ADX_HUMAN,"Adrenodoxin, mitochondrial"
Q6PJW8,CNST,CNST_HUMAN,Consortin
Q8IUX7,AEBP1,AEBP1_HUMAN,Adipocyte enhancer-binding protein 1
Q9BXS5,AP1M1,AP1M1_HUMAN,AP-1 complex subunit mu-1
Q8N815,CNTD1,CNTD1_HUMAN,Cyclin N-terminal domain-containing protein 1
Q5HYN5,CT45A1,CT451_HUMAN,Cancer/testis antigen family 45 member A1
Q8NAA4,ATG16L2,A16L2_HUMAN,Autophagy-related protein 16-2
Q9Y6H1,CHCHD2,CHCH2_HUMAN,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2
Q8WYQ3,CHCHD10,CHC10_HUMAN,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial"
O14967,CLGN,CLGN_HUMAN,Calmegin
Q99217,AMELX,AMELX_HUMAN,"Amelogenin, X isoform"
A6NL05,FAM74A7,F74A7_HUMAN,Protein FAM74A7
P43681,CHRNA4,ACHA4_HUMAN,Neuronal acetylcholine receptor subunit alpha-4
Q9BSY4,CHCHD5,CHCH5_HUMAN,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5
Q8WTP8,AEN,AEN_HUMAN,Apoptosis-enhancing nuclease
P35222,CTNNB1,CTNB1_HUMAN,Catenin beta-1
Q6UXN8,CLEC9A,CLC9A_HUMAN,C-type lectin domain family 9 member A
Q99829,CPNE1,CPNE1_HUMAN,Copine-1
Q719I0,AHSA2P,AHSA2_HUMAN,Putative activator of 90 kDa heat shock protein ATPase homolog 2
P56748,CLDN8,CLD8_HUMAN,Claudin-8
O95406,CNIH1,CNIH1_HUMAN,Protein cornichon homolog 1
O15084,ANKRD28,ANR28_HUMAN,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
Q9BQ39,DDX50,DDX50_HUMAN,ATP-dependent RNA helicase DDX50
Q86TM3,DDX53,DDX53_HUMAN,Probable ATP-dependent RNA helicase DDX53
Q7Z601,GPR142,GP142_HUMAN,Probable G-protein coupled receptor 142
Q8TDV0,GPR151,GP151_HUMAN,Probable G-protein coupled receptor 151
Q99445,GML,GML_HUMAN,Glycosyl-phosphatidylinositol-anchored molecule-like protein
